Linux 3.10.0-229.el7.x86_64 (ip-10-145-11-135.us-west-1.compute.internal) 	08/18/2015 	_x86_64_	(32 CPU)

11:16:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:17:09 PM     all      5.92      0.00      1.13      1.24      0.02     91.69
11:18:09 PM     all      9.20      0.00      1.18      1.75      0.02     87.86
11:19:09 PM     all      9.93      0.00      1.15      1.42      0.01     87.49
11:20:09 PM     all     11.58      0.00      1.13      1.07      0.01     86.20
11:21:09 PM     all      7.21      0.00      0.96      1.03      0.01     90.80
11:22:09 PM     all      4.93      0.00      1.07      1.57      0.01     92.42
11:23:09 PM     all      5.16      0.00      0.53      1.82      0.01     92.48
11:24:09 PM     all      7.07      0.00      0.98      0.56      0.01     91.38
11:25:09 PM     all      4.63      0.00      0.78      0.59      0.00     94.00
11:26:09 PM     all      4.58      0.00      0.59      0.48      0.00     94.34
11:27:09 PM     all      3.94      0.00      0.78      1.31      0.03     93.95
11:28:09 PM     all      3.84      0.00      0.72      2.42      0.04     92.98
11:29:09 PM     all      6.65      0.00      0.43      1.36      0.01     91.55
11:30:09 PM     all      5.84      0.00      0.42      0.29      0.00     93.44
11:31:09 PM     all      4.63      0.00      0.83      0.67      0.01     93.86
11:32:09 PM     all      5.42      0.00      0.58      0.35      0.00     93.65
11:33:09 PM     all      3.14      0.00      0.64      0.55      0.00     95.66
11:34:09 PM     all      2.84      0.00      0.32      0.17      0.00     96.67
11:35:09 PM     all      2.76      0.00      0.31      0.31      0.00     96.61
11:36:09 PM     all      2.81      0.00      0.31      0.27      0.00     96.60
11:37:09 PM     all      2.84      0.00      0.29      0.28      0.00     96.59
11:38:09 PM     all      2.83      0.00      0.28      0.22      0.00     96.66
11:39:09 PM     all      2.82      0.00      0.29      0.28      0.00     96.62
11:40:09 PM     all      2.82      0.00      0.28      0.25      0.00     96.64
11:41:09 PM     all      2.85      0.00      0.28      0.19      0.00     96.68
11:42:09 PM     all      2.81      0.00      0.31      0.29      0.00     96.59
11:43:09 PM     all      2.86      0.00      0.29      0.29      0.00     96.56
11:44:09 PM     all      2.82      0.00      0.31      0.34      0.00     96.53
11:45:09 PM     all      2.81      0.00      0.29      0.29      0.00     96.61
11:46:09 PM     all      2.84      0.00      0.29      0.27      0.00     96.59
11:47:09 PM     all      2.86      0.00      0.30      0.22      0.00     96.62
11:48:09 PM     all      2.83      0.00      0.30      0.40      0.00     96.47
11:49:09 PM     all      2.87      0.00      0.30      0.22      0.00     96.61
11:50:09 PM     all      2.86      0.00      0.28      0.27      0.00     96.58
11:51:09 PM     all      2.79      0.00      0.29      0.34      0.00     96.59
11:52:09 PM     all      2.87      0.00      0.29      0.23      0.00     96.61
11:53:09 PM     all      2.83      0.00      0.30      0.28      0.00     96.59
11:54:09 PM     all      2.82      0.00      0.35      0.27      0.00     96.55
11:55:09 PM     all      2.80      0.00      0.33      0.32      0.00     96.54
11:56:09 PM     all      2.86      0.00      0.33      0.23      0.00     96.58
11:57:09 PM     all      2.84      0.00      0.34      0.29      0.00     96.53
11:58:09 PM     all      2.83      0.00      0.34      0.38      0.00     96.45
11:59:09 PM     all      2.84      0.00      0.34      0.31      0.00     96.52
12:00:09 AM     all      2.83      0.00      0.35      0.29      0.00     96.53
12:01:09 AM     all      2.81      0.00      0.33      0.35      0.00     96.51
12:02:09 AM     all      4.98      0.00      2.73      0.93      0.03     91.33
12:03:09 AM     all      8.65      0.00      4.35      1.24      0.09     85.67
12:04:09 AM     all     13.71      0.00      2.60      2.28      0.05     81.36
12:05:09 AM     all     16.67      0.00      2.28      2.51      0.01     78.53
12:06:09 AM     all     16.40      0.00      2.54      2.72      0.01     78.33
12:07:09 AM     all     16.74      0.00      1.88      2.78      0.01     78.59
12:08:09 AM     all     14.17      0.00      1.69      2.76      0.01     81.37
12:09:09 AM     all     14.54      0.00      1.17      0.78      0.00     83.51
12:10:09 AM     all     14.61      0.00      1.09      0.45      0.00     83.85
12:11:09 AM     all     14.73      0.00      1.00      0.44      0.00     83.83
12:12:09 AM     all     14.01      0.00      1.44      0.84      0.00     83.71
12:13:09 AM     all     11.99      0.00      0.90      1.44      0.01     85.66
12:14:09 AM     all     10.91      0.00      1.10      0.99      0.00     87.00
12:15:09 AM     all      7.46      0.00      2.20      2.10      0.01     88.24
12:16:09 AM     all      7.48      0.00      1.36      1.13      0.01     90.02
12:17:09 AM     all      6.91      0.00      1.10      1.65      0.01     90.33
12:18:09 AM     all      5.89      0.00      0.38      0.08      0.00     93.65
12:19:09 AM     all      5.89      0.00      0.38      0.04      0.00     93.69
12:20:09 AM     all      5.90      0.00      0.37      0.13      0.00     93.60
12:21:09 AM     all      5.90      0.00      0.37      0.07      0.00     93.65
12:22:09 AM     all      5.92      0.00      0.35      0.04      0.00     93.69
12:23:09 AM     all      5.91      0.00      0.37      0.09      0.00     93.64
12:24:09 AM     all      5.91      0.00      0.35      0.04      0.00     93.69
12:25:09 AM     all      5.94      0.00      0.33      0.09      0.00     93.64
12:26:09 AM     all      5.97      0.00      0.30      0.16      0.00     93.56
12:27:09 AM     all      5.96      0.00      0.31      0.10      0.00     93.63
12:28:09 AM     all      5.82      0.00      0.38      0.07      0.00     93.73
12:29:09 AM     all      5.68      0.00      0.42      0.53      0.00     93.37
12:30:09 AM     all      5.84      0.00      0.45      0.36      0.00     93.35
12:31:09 AM     all      5.60      0.00      0.44      0.42      0.00     93.54
12:32:09 AM     all      5.73      0.00      0.47      0.36      0.00     93.44
12:33:09 AM     all      5.83      0.00      0.48      0.35      0.00     93.33
12:34:09 AM     all      5.83      0.00      0.48      0.36      0.00     93.33
12:35:09 AM     all      4.54      0.00      0.62      0.46      0.00     94.39
12:36:09 AM     all      3.02      0.00      0.13      0.01      0.00     96.85
12:37:09 AM     all      3.02      0.00      0.12      0.01      0.00     96.85
12:38:09 AM     all      3.02      0.00      0.12      0.01      0.00     96.85
12:39:09 AM     all      3.01      0.00      0.13      0.01      0.00     96.85
12:40:09 AM     all      3.01      0.00      0.13      0.01      0.00     96.85
12:41:09 AM     all      3.01      0.00      0.13      0.01      0.00     96.85
12:42:09 AM     all      2.93      0.00      0.18      0.03      0.00     96.86
12:43:09 AM     all      2.93      0.00      0.24      0.25      0.00     96.57
12:44:09 AM     all      2.93      0.00      0.22      0.14      0.00     96.71
12:45:09 AM     all      2.93      0.00      0.25      0.27      0.00     96.55
12:46:09 AM     all      2.91      0.00      0.26      0.18      0.00     96.65
12:47:09 AM     all      2.91      0.00      0.25      0.22      0.00     96.62
12:48:09 AM     all      1.27      0.00      0.30      1.32      0.00     97.10
12:49:09 AM     all      0.03      0.00      0.02      2.56      0.01     97.38
12:50:09 AM     all      0.92      0.00      0.46      1.45      0.00     97.16
12:51:09 AM     all      2.02      0.00      1.11      0.00      0.00     96.87
12:52:09 AM     all      2.93      0.00      0.21      0.05      0.00     96.81
12:53:09 AM     all      2.96      0.00      0.19      0.12      0.00     96.73
12:54:09 AM     all      2.97      0.00      0.18      0.09      0.00     96.76
12:55:09 AM     all      2.96      0.00      0.18      0.14      0.00     96.72
12:56:09 AM     all      2.95      0.00      0.19      0.10      0.00     96.75
12:57:09 AM     all      2.96      0.00      0.18      0.10      0.00     96.75
12:58:09 AM     all      2.87      0.00      0.29      0.10      0.00     96.73
12:59:09 AM     all      2.63      0.00      0.52      0.07      0.00     96.77
01:00:09 AM     all      2.85      0.00      0.30      0.07      0.00     96.78
01:01:09 AM     all      2.86      0.00      0.30      0.15      0.00     96.69
01:02:09 AM     all      2.76      0.00      0.44      0.11      0.00     96.69
01:03:09 AM     all      1.66      0.00      0.94      1.65      0.01     95.74
01:04:09 AM     all      2.48      0.00      0.53      0.12      0.00     96.88
01:05:09 AM     all      2.72      0.00      0.41      0.00      0.00     96.87
01:06:09 AM     all      2.75      0.00      0.38      0.00      0.00     96.87
01:07:09 AM     all      1.82      0.00      1.07      0.80      0.00     96.30
01:08:09 AM     all      1.08      0.00      0.92      2.60      0.01     95.39
01:09:09 AM     all      0.78      0.00      0.71      3.32      0.01     95.18
01:10:09 AM     all      0.05      0.00      0.13      3.07      0.01     96.75
01:11:09 AM     all      0.00      0.00      0.10      2.91      0.01     96.98
01:12:09 AM     all      0.01      0.00      0.04      2.72      0.01     97.23
01:13:09 AM     all      0.19      0.00      0.55      2.06      0.00     97.19
01:14:09 AM     all      0.07      0.00      0.29      2.48      0.01     97.15
